,equity
2023-11-19,9171.73444458417
2023-11-20,8492.068862481006
2023-11-21,7750.888293918176
2023-11-22,8639.104683774845
2023-11-23,8471.063745153315
2023-11-24,8531.078366089576
2023-11-25,8826.650374200663
2023-11-26,8637.604318251439
2023-11-27,8262.512937399804
2023-11-28,8733.627711749457
2023-11-29,8895.667188277363
2023-11-30,8894.166822753956
2023-12-01,8969.185098924283
2023-12-02,9558.828749623051
2023-12-03,9452.302797461189
2023-12-04,9239.25089313746
2023-12-05,9153.730058303287
2023-12-06,9281.261127792843
2023-12-07,10169.477517649511
2023-12-08,11243.739232408594
2023-12-09,10840.140906612236
2023-12-10,11224.23448060431
2023-12-11,10538.56743640752
2023-12-12,10283.50529742841
2023-12-13,10597.081691820375
2023-12-14,11354.766281140679
2023-12-15,10880.65077574421
2023-12-16,11053.192810935965
2023-12-17,10618.086809148068
2023-12-18,11164.219859668048
2023-12-19,10955.66905191454
2023-12-20,12337.505698971961
2023-12-21,14086.931899263986
2023-12-22,14705.082494907481
2023-12-23,16196.44582517358
2023-12-24,16885.113600417182
2023-12-25,18146.921005602082
2023-12-26,16876.11140727674
2023-12-27,16043.408541786113
2023-12-28,15281.22285589559
2023-12-29,15932.381493054028
2023-12-30,15288.724683512626
